date,negative,neutral,positive
2011-01-20,68,651,106
2011-01-21,44,395,123
2011-01-22,0,9,0
2011-01-23,2,23,9
2011-01-24,35,517,84
2011-01-25,35,593,125
2011-01-26,45,528,106
2011-01-27,62,549,97
2011-01-28,43,498,83
2011-01-29,0,12,10
2011-01-30,6,29,26
2011-01-31,43,524,117
2011-02-01,27,467,84
2011-02-02,53,498,79
2011-02-03,50,574,129
2011-02-04,10,254,88
2011-02-05,0,5,0
2011-02-06,2,12,4
2011-02-07,16,317,90
2011-02-08,13,297,76
2011-02-09,17,343,68
2011-02-10,20,308,73
2011-02-11,21,257,53
2011-02-13,3,28,12
2011-02-14,13,302,74
2011-02-15,37,328,95
2011-02-16,17,314,82
2011-02-17,25,290,61
2011-02-18,17,270,64
2011-02-19,0,13,9
2011-02-20,0,16,1
2011-02-21,0,23,6
2011-02-22,23,296,75
2011-02-23,30,302,66
2011-02-24,21,315,94
2011-02-25,18,161,62
2011-02-26,0,4,5
2011-02-27,4,13,1
2011-02-28,14,278,63
2011-03-01,33,236,72
2011-03-02,18,238,67
2011-03-03,40,268,99
2011-03-04,18,205,76
2011-03-05,0,12,0
2011-03-06,8,21,15
2011-03-07,22,263,80
2011-03-08,26,289,87
2011-03-09,27,247,79
2011-03-10,25,277,75
2011-03-11,25,206,47
2011-03-12,0,25,5
2011-03-13,2,23,0
2011-03-14,23,254,78
2011-03-15,17,308,71
2011-03-16,21,275,55
2011-03-17,14,273,87
2011-03-18,29,268,82
2011-03-19,6,3,2
2011-03-20,0,43,5
2011-03-21,19,238,96
2011-03-22,27,323,97
2011-03-23,18,306,86
2011-03-24,27,298,56
2011-03-25,22,279,60
2011-03-26,0,9,3
2011-03-27,5,18,10
2011-03-28,31,312,101
2011-03-29,38,300,91
2011-03-30,36,316,89
2011-03-31,23,318,79
2011-04-01,38,300,87
2011-04-02,0,18,0
2011-04-03,11,23,12
2011-04-04,20,317,147
2011-04-05,32,361,83
2011-04-06,35,365,107
2011-04-07,42,305,123
2011-04-08,17,247,118
2011-04-09,0,3,0
2011-04-10,3,24,11
2011-04-11,33,314,165
2011-04-12,16,313,126
2011-04-13,18,294,105
2011-04-14,9,302,124
2011-04-15,17,237,63
2011-04-16,4,23,2
2011-04-17,2,27,15
2011-04-18,18,323,58
2011-04-19,34,375,98
2011-04-20,28,421,92
2011-04-21,17,405,135
2011-04-22,0,29,2
2011-04-23,0,4,1
2011-04-24,13,19,14
2011-04-25,30,484,150
2011-04-26,22,526,295
2011-04-27,20,487,202
2011-04-28,23,519,212
2011-04-29,15,341,84
2011-04-30,3,15,11
2011-05-01,2,25,0
2011-05-02,30,465,249
2011-05-03,45,452,130
2011-05-04,30,548,200
2011-05-05,44,477,124
2011-05-06,13,319,160
2011-05-07,1,9,5
2011-05-08,7,27,66
2011-05-09,15,475,200
2011-05-10,22,440,133
2011-05-11,35,415,98
2011-05-12,35,309,92
2011-05-13,36,259,205
2011-05-14,1,28,17
2011-05-15,5,23,49
2011-05-16,38,395,138
2011-05-17,23,358,83
2011-05-18,32,402,101
2011-05-19,46,407,95
2011-05-20,16,294,48
2011-05-21,0,3,11
2011-05-22,0,63,97
2011-05-23,62,495,373
2011-05-24,28,395,93
2011-05-25,30,366,93
2011-05-26,31,317,104
2011-05-27,12,273,51
2011-05-28,0,0,6
2011-05-29,0,17,0
2011-05-30,0,37,10
2011-05-31,22,398,92
2011-06-01,73,379,90
2011-06-02,31,398,89
2011-06-03,26,296,60
2011-06-04,0,13,3
2011-06-05,4,35,12
2011-06-06,31,354,86
2011-06-07,25,418,118
2011-06-08,30,319,115
2011-06-09,20,368,136
2011-06-10,23,333,103
2011-06-11,1,7,1
2011-06-12,0,15,1
2011-06-13,36,350,118
2011-06-14,26,371,175
2011-06-15,19,327,102
2011-06-16,39,374,153
2011-06-17,11,293,109
2011-06-18,0,13,3
2011-06-19,1,15,4
2011-06-20,48,413,154
2011-06-21,24,409,153
2011-06-22,46,376,135
2011-06-23,48,407,125
2011-06-24,15,251,140
2011-06-25,0,8,0
2011-06-26,7,29,13
2011-06-27,29,357,90
2011-06-28,45,388,190
2011-06-29,20,412,156
2011-06-30,44,359,120
2011-07-01,22,286,122
2011-07-02,0,10,2
2011-07-03,1,18,1
2011-07-04,0,19,5
2011-07-05,42,356,128
2011-07-06,31,330,160
2011-07-07,38,398,104
2011-07-08,19,340,72
2011-07-09,0,24,5
2011-07-10,2,25,40
2011-07-11,34,359,109
2011-07-12,41,425,117
2011-07-13,51,412,90
